sectionNumber,standardReference,standardText,auditQuestion,score1Criteria,score2Criteria,score3Criteria
4.1,ISO 9001:2015 Clause 4.1,"The organization shall determine external and internal issues that are relevant to its purpose and strategic direction and that affect its ability to achieve the intended result(s) of its quality management system.","Has the organization identified and documented external issues (legal, technological, competitive, market, cultural, social, economic) that affect its ability to achieve QMS results?","No external issues have been identified or documented.","Some external issues are identified but documentation is incomplete or not linked to strategic direction.","External issues are comprehensively identified, documented, and clearly linked to strategic direction with regular review."
4.1,ISO 9001:2015 Clause 4.1,"The organization shall determine external and internal issues that are relevant to its purpose and strategic direction and that affect its ability to achieve the intended result(s) of its quality management system.","Has the organization identified and documented internal issues (values, culture, knowledge, performance) that affect its ability to achieve QMS results?","No internal issues have been identified or documented.","Some internal issues are identified but documentation is incomplete or not systematically reviewed.","Internal issues are comprehensively identified, documented, and regularly monitored with evidence of review."
4.1,ISO 9001:2015 Clause 4.1,"The organization shall determine external and internal issues that are relevant to its purpose and strategic direction and that affect its ability to achieve the intended result(s) of its quality management system.","Is there evidence that external and internal issues are monitored and reviewed at planned intervals?","No monitoring or review process exists for context issues.","Issues are reviewed occasionally but not at planned intervals or without documented outcomes.","Issues are monitored and reviewed at defined intervals with documented evidence of actions taken."
4.2,ISO 9001:2015 Clause 4.2,"The organization shall determine: a) the interested parties that are relevant to the quality management system; b) the requirements of these interested parties that are relevant to the quality management system.","Has the organization identified all relevant interested parties (customers, employees, suppliers, regulators, shareholders, community)?","Interested parties have not been identified.","Some interested parties are identified but the list is incomplete or not documented.","All relevant interested parties are identified, documented, and categorized appropriately."
4.2,ISO 9001:2015 Clause 4.2,"The organization shall determine: a) the interested parties that are relevant to the quality management system; b) the requirements of these interested parties that are relevant to the quality management system.","Are the requirements and expectations of each interested party documented and monitored?","Requirements of interested parties are not documented.","Requirements are partially documented but not systematically monitored or updated.","Requirements are fully documented, regularly monitored, and updated with evidence of review."
4.3,ISO 9001:2015 Clause 4.3,"The organization shall determine the boundaries and applicability of the quality management system to establish its scope.","Is the QMS scope clearly defined, documented, and available as documented information?","QMS scope is not defined or documented.","Scope is defined but incomplete, unclear, or not readily available.","Scope is clearly defined, documented, available, and includes all products/services and applicable requirements."
4.3,ISO 9001:2015 Clause 4.3,"The organization shall determine the boundaries and applicability of the quality management system to establish its scope.","If any ISO 9001 requirements are determined not applicable, is there valid justification that does not affect conformity of products/services?","Exclusions exist without justification or justification is invalid.","Exclusions are justified but documentation is incomplete or reasoning is weak.","All exclusions are properly justified, documented, and do not affect product/service conformity or customer satisfaction."
4.4,ISO 9001:2015 Clause 4.4,"The organization shall establish, implement, maintain and continually improve a quality management system, including the processes needed and their interactions.","Are QMS processes identified with their inputs, outputs, sequence, and interactions documented?","QMS processes are not identified or documented.","Processes are identified but inputs, outputs, or interactions are not fully documented.","All QMS processes are identified with documented inputs, outputs, sequence, and interactions."
4.4,ISO 9001:2015 Clause 4.4,"The organization shall establish, implement, maintain and continually improve a quality management system, including the processes needed and their interactions.","Are criteria, methods, and performance indicators established for each process to ensure effective operation and control?","No criteria or performance indicators exist for processes.","Some processes have criteria/indicators but coverage is incomplete or inconsistent.","All processes have defined criteria, methods, and performance indicators that are monitored."
4.4,ISO 9001:2015 Clause 4.4,"The organization shall establish, implement, maintain and continually improve a quality management system, including the processes needed and their interactions.","Are resources, responsibilities, and authorities assigned for each QMS process?","Resources and responsibilities are not assigned to processes.","Some processes have assigned resources/responsibilities but gaps exist.","All processes have clearly assigned resources, responsibilities, and authorities with documented accountability."
4.4,ISO 9001:2015 Clause 4.4,"The organization shall establish, implement, maintain and continually improve a quality management system, including the processes needed and their interactions.","Are risks and opportunities addressed for each process and are processes evaluated for improvement?","Risks and opportunities are not considered for processes.","Risks/opportunities are considered for some processes but evaluation for improvement is inconsistent.","All processes have documented risks/opportunities with evidence of evaluation and improvement actions."
5.1,ISO 9001:2015 Clause 5.1.1,"Top management shall demonstrate leadership and commitment with respect to the quality management system.","Does top management demonstrate accountability for QMS effectiveness through active engagement and decision-making?","No evidence of top management accountability or engagement with the QMS.","Top management shows some involvement but accountability is unclear or inconsistent.","Top management actively demonstrates accountability with documented decisions, reviews, and resource allocation."
5.1,ISO 9001:2015 Clause 5.1.1,"Top management shall demonstrate leadership and commitment with respect to the quality management system.","Are QMS requirements integrated into business processes rather than treated as a separate system?","QMS operates as a separate system disconnected from business processes.","Partial integration exists but QMS is still perceived as separate from core business.","QMS requirements are fully integrated into business processes with seamless operation."
5.1,ISO 9001:2015 Clause 5.1.1,"Top management shall demonstrate leadership and commitment with respect to the quality management system.","Are adequate resources provided for the QMS and is the importance of quality management communicated throughout the organization?","Resources are inadequate and quality importance is not communicated.","Resources are partially adequate or communication about quality is inconsistent.","Adequate resources are provided and quality importance is consistently communicated at all levels."
5.1,ISO 9001:2015 Clause 5.1.1,"Top management shall demonstrate leadership and commitment with respect to the quality management system.","Does top management engage, direct, and support persons to contribute to QMS effectiveness and continual improvement?","No evidence of top management engaging or supporting personnel in QMS activities.","Some engagement exists but support for personnel contribution is limited or inconsistent.","Top management actively engages and supports all personnel with documented initiatives and improvement promotion."
5.1,ISO 9001:2015 Clause 5.1.2,"Top management shall demonstrate leadership and commitment with respect to customer focus.","Are customer requirements and applicable statutory/regulatory requirements determined, understood, and consistently met?","Customer and regulatory requirements are not systematically determined or met.","Requirements are determined but understanding or consistent compliance has gaps.","All customer and regulatory requirements are determined, understood, documented, and consistently met."
5.1,ISO 9001:2015 Clause 5.1.2,"Top management shall demonstrate leadership and commitment with respect to customer focus.","Is there a maintained focus on enhancing customer satisfaction with measurable actions and improvements?","No focus on customer satisfaction enhancement.","Customer satisfaction is considered but enhancement activities are ad-hoc or unmeasured.","Systematic focus on customer satisfaction with measured improvements and documented enhancement activities."
5.2,ISO 9001:2015 Clause 5.2.1,"Top management shall establish, implement and maintain a quality policy.","Is a quality policy established that is appropriate to the organization's purpose, context, and strategic direction?","No quality policy exists or it is not appropriate to the organization.","Quality policy exists but is generic or not clearly linked to organizational context and strategy.","Quality policy is appropriate, context-specific, and clearly supports strategic direction."
5.2,ISO 9001:2015 Clause 5.2.1,"Top management shall establish, implement and maintain a quality policy.","Does the quality policy provide a framework for setting objectives and include commitments to meeting requirements and continual improvement?","Policy does not provide framework for objectives or lacks required commitments.","Policy partially addresses objectives framework or commitments are unclear.","Policy clearly provides objectives framework and includes explicit commitments to requirements and continual improvement."
5.2,ISO 9001:2015 Clause 5.2.2,"The quality policy shall be available and communicated.","Is the quality policy documented, communicated, understood within the organization, and available to relevant interested parties?","Policy is not documented or communicated.","Policy is documented but communication or understanding is limited.","Policy is documented, effectively communicated, understood by personnel, and available to interested parties."
5.3,ISO 9001:2015 Clause 5.3,"Top management shall ensure that the responsibilities and authorities for relevant roles are assigned, communicated and understood.","Are responsibilities and authorities for QMS roles clearly assigned, communicated, and understood?","Responsibilities and authorities are not defined or communicated.","Some responsibilities are assigned but communication or understanding is incomplete.","All QMS responsibilities and authorities are clearly assigned, documented, communicated, and understood."
5.3,ISO 9001:2015 Clause 5.3,"Top management shall ensure that the responsibilities and authorities for relevant roles are assigned, communicated and understood.","Is there assigned responsibility for reporting QMS performance to top management and ensuring customer focus throughout the organization?","No assigned responsibility for QMS reporting or customer focus promotion.","Responsibilities exist but reporting or customer focus promotion is inconsistent.","Clear responsibilities assigned with regular QMS performance reporting and active customer focus promotion."
6.1,ISO 9001:2015 Clause 6.1.1,"When planning for the quality management system, the organization shall determine the risks and opportunities that need to be addressed.","Has the organization determined risks and opportunities considering the context (4.1) and interested party requirements (4.2)?","No formal risk and opportunity assessment exists.","Some risks/opportunities identified but not linked to context or interested parties.","Comprehensive risk and opportunity assessment documented with clear links to context and interested party requirements."
6.1,ISO 9001:2015 Clause 6.1.2,"The organization shall plan actions to address risks and opportunities.","Are actions planned to address risks and opportunities, integrated into QMS processes, and evaluated for effectiveness?","No actions planned for risks and opportunities.","Actions exist but not integrated into processes or effectiveness not evaluated.","Actions are planned, integrated into QMS processes, and regularly evaluated for effectiveness with documented results."
6.2,ISO 9001:2015 Clause 6.2.1,"The organization shall establish quality objectives at relevant functions, levels and processes.","Are quality objectives established that are consistent with policy, measurable, and relevant to product/service conformity and customer satisfaction?","Quality objectives are not established or are not measurable.","Objectives exist but are not fully aligned with policy or are difficult to measure.","SMART quality objectives are established, consistent with policy, and clearly relevant to conformity and customer satisfaction."
6.2,ISO 9001:2015 Clause 6.2.2,"The organization shall determine planning for achieving quality objectives.","Is planning documented for achieving quality objectives including actions, resources, responsibilities, timeframes, and evaluation methods?","No planning exists for achieving quality objectives.","Partial planning exists but key elements (resources, responsibilities, timeframes) are missing.","Complete planning documented with actions, resources, responsibilities, timeframes, and evaluation methods."
6.2,ISO 9001:2015 Clause 6.2.1,"The quality objectives shall be monitored, communicated, and updated.","Are quality objectives monitored, communicated throughout the organization, and updated when appropriate?","Objectives are not monitored or communicated.","Some monitoring occurs but communication is limited or updates are irregular.","Objectives are systematically monitored, effectively communicated, and updated based on performance and changing conditions."
6.3,ISO 9001:2015 Clause 6.3,"When the organization determines the need for changes to the quality management system, the changes shall be carried out in a planned manner.","When changes to the QMS are needed, are they planned considering purpose, consequences, system integrity, resources, and responsibilities?","Changes are made without planning or consideration of impacts.","Some planning occurs but not all factors are systematically considered.","All QMS changes are systematically planned with documented consideration of purpose, consequences, integrity, resources, and responsibilities."
7.1,ISO 9001:2015 Clause 7.1.1,"The organization shall determine and provide the resources needed for the QMS.","Has the organization determined and provided adequate resources for QMS establishment, implementation, maintenance, and improvement?","Resources are not systematically determined or significant gaps exist.","Resources are partially determined but gaps or constraints are not fully addressed.","Resources are systematically determined and provided with consideration of internal capabilities and external provider needs."
7.1,ISO 9001:2015 Clause 7.1.2,"The organization shall determine and provide the persons necessary for effective QMS implementation.","Are adequate personnel determined and provided for effective QMS implementation and process operation?","Personnel needs are not determined or significant staffing gaps exist.","Personnel needs are determined but staffing is not always adequate.","Personnel needs are determined and consistently met with appropriate staffing for all QMS processes."
7.1,ISO 9001:2015 Clause 7.1.3,"The organization shall determine, provide and maintain the infrastructure necessary for process operation.","Is infrastructure (buildings, equipment, IT systems, transportation) determined, provided, and maintained for process operation and product/service conformity?","Infrastructure needs are not determined or significant maintenance gaps exist.","Infrastructure is determined but provision or maintenance is inconsistent.","Infrastructure is systematically determined, provided, and maintained with documented maintenance programs."
7.1,ISO 9001:2015 Clause 7.1.4,"The organization shall determine, provide and maintain the environment necessary for process operation.","Is the work environment (social, psychological, physical factors) determined, provided, and maintained for process operation and product/service conformity?","Work environment factors are not considered or significant issues exist.","Environment is partially addressed but some factors are not controlled.","Work environment is systematically determined and maintained with documented controls for all relevant factors."
7.1,ISO 9001:2015 Clause 7.1.5.1,"The organization shall determine and provide monitoring and measuring resources.","Are monitoring and measuring resources determined, suitable for their purpose, and maintained to ensure continued fitness?","Monitoring/measuring resources are not controlled or calibration is not managed.","Resources are identified but suitability or maintenance has gaps.","Resources are determined, suitable, and maintained with documented evidence of continued fitness for purpose."
7.1,ISO 9001:2015 Clause 7.1.5.2,"When measurement traceability is required, measuring equipment shall be calibrated.","Where measurement traceability is required, is equipment calibrated/verified against traceable standards, identified for status, and safeguarded from damage?","Calibration is not performed or traceability is not established.","Calibration occurs but status identification or safeguarding is incomplete.","Equipment is calibrated against traceable standards, clearly identified for status, and safeguarded with documented records."
7.1,ISO 9001:2015 Clause 7.1.6,"The organization shall determine the knowledge necessary for process operation.","Is organizational knowledge determined, maintained, made available, and updated to address changing needs?","Organizational knowledge is not systematically managed.","Some knowledge management exists but gaps in capture, availability, or updates.","Knowledge is systematically determined, maintained, made available, and updated with documented processes for knowledge acquisition."
7.2,ISO 9001:2015 Clause 7.2,"The organization shall determine necessary competence and ensure competence.","Is competence determined for persons affecting QMS performance, and are persons ensured competent through education, training, or experience?","Competence requirements are not defined or competence is not verified.","Competence is partially managed but gaps exist in determination or verification.","Competence is systematically determined and verified with documented evidence for all relevant personnel."
7.2,ISO 9001:2015 Clause 7.2,"The organization shall take actions to acquire competence and evaluate effectiveness.","Are actions taken to acquire necessary competence evaluated for effectiveness, with documented information retained as evidence?","No actions taken to address competence gaps or no documentation exists.","Actions are taken but effectiveness evaluation or documentation is incomplete.","Actions to acquire competence are taken, evaluated for effectiveness, and documented with evidence retained."
7.3,ISO 9001:2015 Clause 7.3,"The organization shall ensure persons are aware of QMS requirements.","Are persons aware of the quality policy, relevant objectives, their contribution to QMS effectiveness, and implications of non-conformity?","Personnel are not aware of QMS requirements or their role.","Some awareness exists but not consistently demonstrated across the organization.","Personnel demonstrate clear awareness of policy, objectives, their contribution, and implications of non-conformity."
7.4,ISO 9001:2015 Clause 7.4,"The organization shall determine internal and external communications relevant to the QMS.","Has the organization determined what, when, with whom, how, and who communicates regarding QMS matters internally and externally?","QMS communication is ad-hoc and not planned.","Some communication planning exists but not all elements are addressed.","Communication is systematically planned covering what, when, with whom, how, and who for both internal and external communications."
7.5,ISO 9001:2015 Clause 7.5.1,"The QMS shall include required documented information.","Does the QMS include all documented information required by ISO 9001 and additional documentation determined necessary for effectiveness?","Required documented information is missing or inadequate.","Most required documentation exists but gaps or inadequacies identified.","All required documented information exists plus additional documentation supporting QMS effectiveness."
7.5,ISO 9001:2015 Clause 7.5.2,"Documented information shall be appropriately identified and controlled.","Is documented information appropriately identified, described, formatted, and reviewed/approved for suitability and adequacy?","Documentation lacks identification, proper format, or approval controls.","Some controls exist but identification, format, or approval process has gaps.","All documented information is properly identified, formatted, and approved with documented review processes."
7.5,ISO 9001:2015 Clause 7.5.3,"Documented information shall be controlled for availability and protection.","Is documented information controlled to ensure availability, suitability for use, and adequate protection from loss or improper use?","Document control is inadequate with availability or protection issues.","Document control exists but gaps in availability or protection identified.","Comprehensive document control ensures availability, suitability, and protection with controlled distribution and access."
8.1,ISO 9001:2015 Clause 8.1,"The organization shall plan, implement and control operational processes.","Are operational processes planned and controlled with determined requirements, criteria, resources, and documented information?","Operational planning is inadequate or not systematically applied.","Planning exists but gaps in criteria, control, or documentation.","Comprehensive operational planning with clear requirements, criteria, resources, and documented information."
8.1,ISO 9001:2015 Clause 8.1,"The organization shall control changes and outsourced processes.","Are planned changes controlled, unintended changes reviewed with mitigating actions, and outsourced processes controlled?","Changes are not controlled and outsourced processes are not managed.","Some change control exists but unintended changes or outsourced processes have gaps.","Planned changes are controlled, unintended changes are reviewed with documented actions, and outsourced processes are effectively controlled."
8.2,ISO 9001:2015 Clause 8.2.1,"Communication with customers shall be managed.","Is customer communication effective covering product information, enquiries, feedback, complaints, customer property, and contingency requirements?","Customer communication is inadequate or not systematically managed.","Some customer communication exists but gaps in feedback or complaint handling.","Comprehensive customer communication covering all required elements with documented processes."
8.2,ISO 9001:2015 Clause 8.2.2,"Requirements for products and services shall be determined.","Are product/service requirements determined including statutory, regulatory, and organization-determined requirements with confidence in meeting claims?","Product/service requirements are not systematically determined.","Requirements are determined but gaps in regulatory requirements or claim verification.","All requirements are comprehensively determined with confidence in meeting all claims."
8.2,ISO 9001:2015 Clause 8.2.3,"Requirements shall be reviewed before commitment to supply.","Is a review conducted before commitment to supply, ensuring ability to meet requirements and resolving any differences?","No review before commitment or requirements not verified.","Reviews occur but are not comprehensive or differences not always resolved.","Comprehensive review before commitment with documented resolution of differences and retained records."
8.3,ISO 9001:2015 Clause 8.3.1,"The organization shall establish a design and development process.","Is a design and development process established that is appropriate for ensuring subsequent product/service provision?","No design and development process exists or it is inadequate.","Process exists but is not comprehensive or appropriately controlled.","Comprehensive design and development process is established, implemented, and maintained."
8.3,ISO 9001:2015 Clause 8.3.2,"Design and development planning shall consider required elements.","Does design planning consider nature/duration/complexity, required stages, verification/validation, and responsibilities?","Design planning does not consider required elements.","Planning addresses some elements but gaps in verification/validation or responsibilities.","Comprehensive design planning considering all elements with documented stages and controls."
8.3,ISO 9001:2015 Clause 8.3.3,"Design inputs shall be determined.","Are design inputs determined including functional, performance, statutory, regulatory requirements, and consequences of failure?","Design inputs are not determined or are incomplete.","Some inputs are determined but gaps in regulatory or failure consequence considerations.","All design inputs are comprehensively determined, documented, and adequate for design requirements."
8.3,ISO 9001:2015 Clause 8.3.4,"Design controls shall be applied.","Are design controls applied including reviews, verification that outputs meet inputs, and validation that products/services meet intended use?","Design controls are not applied or are inadequate.","Some controls exist but gaps in review, verification, or validation.","Comprehensive design controls with documented reviews, verification, and validation activities."
8.3,ISO 9001:2015 Clause 8.3.6,"Design changes shall be controlled.","Are design changes identified, reviewed, controlled, and documented to ensure no adverse impact on conformity?","Design changes are not controlled or documented.","Some change control exists but review or documentation is incomplete.","Design changes are systematically identified, reviewed, controlled, and documented with retained information."
8.4,ISO 9001:2015 Clause 8.4.1,"Controls shall be determined for external providers.","Are controls determined for externally provided processes, products, and services to ensure conformity to requirements?","No controls exist for external providers.","Some controls exist but not comprehensive or consistently applied.","Comprehensive controls are determined and applied to all externally provided processes, products, and services."
8.4,ISO 9001:2015 Clause 8.4.1,"External providers shall be evaluated.","Are criteria established for evaluation, selection, performance monitoring, and re-evaluation of external providers with documented information retained?","No evaluation criteria or documentation for external providers.","Some evaluation exists but criteria are incomplete or documentation gaps.","Comprehensive criteria for evaluation, selection, monitoring, and re-evaluation with documented information retained."
8.4,ISO 9001:2015 Clause 8.4.3,"Requirements shall be communicated to external providers.","Are requirements adequately communicated to external providers including approval methods, competence, interactions, and verification activities?","Requirements are not communicated to external providers.","Some requirements communicated but gaps in approval methods or verification.","All requirements are comprehensively communicated to external providers with documented confirmation."
8.5,ISO 9001:2015 Clause 8.5.1,"Production and service provision shall be under controlled conditions.","Is production/service provision implemented under controlled conditions with documented information, monitoring resources, and measurement activities?","Production/service provision is not controlled or documented.","Some controls exist but gaps in documentation or monitoring.","Comprehensive controlled conditions with documented information and systematic monitoring and measurement."
8.5,ISO 9001:2015 Clause 8.5.1,"Controlled conditions shall include infrastructure, competence, validation, and error prevention.","Are suitable infrastructure, competent persons, process validation, human error prevention, and release/delivery activities controlled?","Key controlled conditions are not addressed.","Some conditions controlled but gaps in validation or error prevention.","All controlled conditions are systematically addressed with documented evidence."
8.5,ISO 9001:2015 Clause 8.5.2,"Outputs shall be identified and traceability maintained.","Are outputs identified, status tracked through production/service provision, and traceability maintained where required?","Output identification and traceability are not managed.","Some identification exists but traceability or status tracking has gaps.","Outputs are systematically identified, status tracked, and traceability maintained with documented information."
8.5,ISO 9001:2015 Clause 8.5.3,"Customer and external provider property shall be protected.","Is customer or external provider property identified, verified, protected, and safeguarded while under the organization's control?","Customer/external provider property is not controlled.","Some controls exist but identification or protection has gaps.","Customer/external provider property is systematically identified, verified, protected, and safeguarded with documented records."
8.5,ISO 9001:2015 Clause 8.5.4,"Outputs shall be preserved.","Are outputs preserved during production and service provision to ensure conformity (handling, storage, packaging, protection)?","Preservation of outputs is not controlled.","Some preservation exists but gaps in handling, storage, or protection.","Outputs are systematically preserved with documented controls for handling, storage, packaging, and protection."
8.5,ISO 9001:2015 Clause 8.5.5,"Post-delivery activities shall be determined.","Are post-delivery activities determined and implemented considering statutory requirements, potential consequences, product nature, and customer feedback?","Post-delivery activities are not considered or implemented.","Some post-delivery activities exist but not all factors are considered.","Post-delivery activities are comprehensively determined and implemented considering all required factors."
8.5,ISO 9001:2015 Clause 8.5.6,"Changes to production/service provision shall be controlled.","Are changes to production/service provision reviewed and controlled with documented results, authorization, and necessary actions?","Production/service changes are not reviewed or controlled.","Some change control exists but documentation or authorization is incomplete.","Changes are systematically reviewed and controlled with documented results, authorization, and actions."
8.6,ISO 9001:2015 Clause 8.6,"Release of products and services shall be verified.","Are planned arrangements implemented to verify requirements are met, with release held until completion and documented information retained?","Release controls are not implemented or documented.","Some release controls exist but verification or documentation has gaps.","Comprehensive release controls with documented verification and evidence of conformity and authorization."
8.7,ISO 9001:2015 Clause 8.7.1,"Nonconforming outputs shall be controlled.","Are nonconforming outputs identified and controlled to prevent unintended use or delivery, with appropriate action taken?","Nonconforming outputs are not identified or controlled.","Some control exists but identification or action is inconsistent.","Nonconforming outputs are systematically identified, controlled, and appropriate action taken based on nature and effect."
8.7,ISO 9001:2015 Clause 8.7.2,"Documented information on nonconformities shall be retained.","Is documented information retained describing nonconformities, actions taken, concessions, and decision authority?","No documented information on nonconformities.","Some documentation exists but descriptions or authority identification is incomplete.","Comprehensive documented information on all nonconformities including descriptions, actions, concessions, and authority."
9.1,ISO 9001:2015 Clause 9.1.1,"The organization shall determine monitoring and measurement requirements.","Has the organization determined what to monitor/measure, methods, timing, and analysis/evaluation with documented results?","Monitoring and measurement is not systematically determined or documented.","Some monitoring exists but methods, timing, or analysis is incomplete.","Comprehensive monitoring and measurement with defined methods, timing, analysis, and documented results."
9.1,ISO 9001:2015 Clause 9.1.2,"Customer satisfaction shall be monitored.","Does the organization monitor customer perceptions using determined methods (surveys, feedback, meetings, complaints, compliments)?","Customer satisfaction is not monitored.","Some monitoring exists but methods are limited or not systematic.","Systematic customer satisfaction monitoring using multiple methods with analysis and documented action."
9.1,ISO 9001:2015 Clause 9.1.3,"Data shall be analyzed and evaluated.","Is data analyzed and evaluated to assess conformity, customer satisfaction, QMS effectiveness, planning, risk actions, and external provider performance?","Data analysis is not performed or is inadequate.","Some analysis exists but not all required areas are evaluated.","Comprehensive data analysis covering all required areas with documented evaluation and improvement identification."
9.2,ISO 9001:2015 Clause 9.2.1,"Internal audits shall be conducted at planned intervals.","Are internal audits conducted at planned intervals to verify QMS conformity to organizational requirements and ISO 9001, and effective implementation?","Internal audits are not conducted or are inadequate.","Audits are conducted but not at planned intervals or scope is incomplete.","Internal audits are conducted at planned intervals with comprehensive scope covering conformity and effectiveness."
9.2,ISO 9001:2015 Clause 9.2.2,"An audit program shall be established.","Is an audit program established with defined criteria, objective auditors, reported results, timely actions, and documented information?","No audit program exists or key elements are missing.","Audit program exists but gaps in objectivity, reporting, or follow-up actions.","Comprehensive audit program with objective auditors, reported results, timely corrective actions, and documented information."
9.3,ISO 9001:2015 Clause 9.3.1,"Top management shall review the QMS at planned intervals.","Does top management review the QMS at planned intervals to ensure suitability, adequacy, effectiveness, and strategic alignment?","Management reviews are not conducted.","Reviews occur but not at planned intervals or strategic alignment is not considered.","Management reviews are conducted at planned intervals ensuring suitability, adequacy, effectiveness, and strategic alignment."
9.3,ISO 9001:2015 Clause 9.3.2,"Management review inputs shall be considered.","Does management review consider previous actions, context changes, QMS performance (customer satisfaction, objectives, processes, nonconformities, audits), resources, and risk actions?","Management review inputs are inadequate or incomplete.","Some inputs are considered but not all required elements are addressed.","All required management review inputs are comprehensively considered with documented evidence."
9.3,ISO 9001:2015 Clause 9.3.3,"Management review outputs shall include decisions and actions.","Do management review outputs include decisions on improvement opportunities, QMS changes, and resource needs with documented information retained?","Management review outputs are not documented or incomplete.","Some outputs exist but not all decisions are documented or actioned.","Management review outputs include all required decisions with documented information retained and actions tracked."
10.1,ISO 9001:2015 Clause 10.1,"The organization shall determine and implement improvement opportunities.","Does the organization determine, select, and implement improvement opportunities to enhance customer satisfaction and QMS performance?","Improvement is not systematically addressed.","Some improvement activities exist but are not systematic or comprehensive.","Improvement opportunities are systematically determined, selected, and implemented with documented results."
10.2,ISO 9001:2015 Clause 10.2.1,"Nonconformity and corrective action process shall be implemented.","When nonconformities occur, is there reaction, cause evaluation, action implementation, effectiveness review, and risk/QMS updates?","Nonconformity and corrective action process is inadequate or not followed.","Process exists but gaps in root cause analysis or effectiveness review.","Comprehensive nonconformity and corrective action process with documented root cause analysis, actions, and effectiveness review."
10.2,ISO 9001:2015 Clause 10.2.2,"Documented information on corrective actions shall be retained.","Is documented information retained on nonconformity nature, actions taken, and corrective action results?","No documented information on nonconformities and corrective actions.","Some documentation exists but is incomplete or inconsistent.","Comprehensive documented information retained on all nonconformities, actions, and corrective action results."
10.3,ISO 9001:2015 Clause 10.3,"The organization shall continually improve the QMS.","Does the organization continually improve QMS suitability, adequacy, and effectiveness considering analysis results and management review outputs?","Continual improvement is not evident or systematic.","Some improvement occurs but not systematically linked to analysis and management review.","Systematic continual improvement with documented evidence linked to analysis results and management review outputs."
